_id,title,company,location,summary,link,Scrape datetime
ObjectId("5ade14d124dc391b1a368f2b"),Data Engineer,BioCentury Inc.,Redwood City, CA,Collaborate with data architects, data scientists, data specialists and IT team members on project goals. Develop data set processes for data modeling, mining...,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AF2YOAF6Mw163neX3NQdkn1_ofBx8P7CCjrhmZfZewmqrXZPHrlVqhKXRMtfVvEu6TWEUZgZgM1E73thpjO1ybyBh5CvLG5dKTnDMVWQWuU8oNYfhn9Ph4B2ckgjr_svd78LdC8z2221GVZICYHxTPoQp2v0ou1vHdqzs8nzQvt4puQHCepvnGRcOvYTs-Gh-V9llW8oHmQ4Mh5Icldn5VozVaD1sIRCjufP_ETC51j8t7gjedRCTGKvXwtew62iIMSJOt2HRMLaLicC3WZjdzqihqBhCg7fyT4Ois2B0MpZigPcKdj6cxntMsApGwonyTBujBL92y5yVN85Qdo1WZhaaeME9hOYRg_fAhsGL_Dz25u4h6CPnSj3NcWVKc9xpEp0r0yeCFfz98V1uUuZKFhPe622noPSzTU0CHz29ie6rQddp7QqjgDykJql2nGQg=&vjs=3&p=1&sk=&fvj=1,""2018-04-23T17:15:58.359Z""
ObjectId("5ade14d124dc391b1a368f2c"),Senior Data Engineer,Blue Owl,San Francisco, CA,You've built streaming data applications using open source tools. You are a solid software engineer Ideal, but not required:....,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D3UvD5kBSgX9r9tFJCI4OL-41vvae__bcle4uMSq30h36AcPbHjl9bcVWQE4zSRT4mBKbnyz7JFMFYhUj0kXZ58e05-vsBd-e8fJnSv8flsCIkDG5v876yHPiw2CcNHi6mA3eLooZdKGqMItGQAqWBNvHEL-Zr7q5zKuu9IxypiJ4h-SvKt-GfZ_k_eU9lNv9q8m7JDnrgF8SaKsqvIKMN40laS8v6ruydtgcKsQbKQgqDEYSqFk_dmjcI9jjhcfNvaYn0b66Gq32r092sP4hkFoKxivzs0oeixJdBVwO_VGtdLrM5vTkU-rt15ZiZH0A2qkz9NyztmWca-3w6yjouFg831TTaFa7TEOd--TEjVUPJfHgCopaJHnumMZFm95C59YbnZd0N1rDde_MsAO1I2szZ2Tn2I0oJCMIsb_700xcHhe5yLcB6s9kyZ-39m9vCzg6Gn2ty2K7hE2nbpwZV3e5DqQ7qvcIHPDi9gepdM631nYGKA7xuUNwaxSvdL5EGOF4qPSaOipugARBKHmcKag4Fr8pfp6U=&vjs=3&p=2&sk=&fvj=0,""2018-04-23T17:15:58.359Z""
ObjectId("5ade14d124dc391b1a368f2d"),Security and Data Integrity Engineer,KQED Inc.,San Francisco, CA,The IT Security & Data Integrity Engineer’s role is to install, manage, update, support and monitor IT security and data backup systems and software for KQED....,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CHg7tZNWnNW1g9I_AeiDgGY4fZA3hVwOep9roCwBfz8Ji7lo2nm4e9deuI6zxAb31DFofbh_x1guYsNPio_tNljPb3JOvXXdtig47lHqsBBpQPckkHSkybp72zRpsBmUfmmh0EwQO0gA-mkphyzSE70uVpn_4d1snv7ZmdeXNA3_-cNompWjRIxcp1DU4eCWFTxiYYeCoaua17cdT3GgmGf4jjdrIUANmROLxOX_hyi0ZkLINEAHxoWcBD1DzEt-q-FWJlu8xlc6epT21692LgoPmjRZ9tOmr1XLn_gJqsHXVt60O6CPrHxTbuBPG7Y4xatl_xpqu1lbEvVsGxIBD38ONWnYqHE3SIfG7ucqegUeyBE3Zhc4lX9SP8XTS0laXxFyiwDCC2T8r7E_zzH0HSJGg37N4V2jmj7paTSaKemAAGBTPBATSoTyIXjOZYC-24rcNAv0Cw-IFA8ruHMJB5CTRrb3QWiHjMUf4lZvVcV9fWObEMeNmUcjf8eACox4X5ZsQ2_gJWFynC7mpHSlkzAzo5E5baYS0pNyMLmW6-Gg==&vjs=3&p=3&sk=&fvj=0,""2018-04-23T17:15:58.359Z""
ObjectId("5ade14d124dc391b1a368f2e"),Data Engineer Consultant (Python & Hive / Presto),Anectotal LLC,Menlo Park, CA,This data engineering role consultant opportunity involved building and maintaining data engineering pipelines, code, data quality checks, third-party...,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B_IS6ir5FrYavPze7aoLnU7zcz7d-LAMBsb1QoM195dn7fH2JARgTdy4Cu4gAKlQ5whXFrLbeZodUInoULY5IaPbYLy4bk__Fo9nPwiQzhhQb4Ho7_Jixl7ITWorQv43XdYd_JZuO0HJuBLtc1E5EvezNMfSwyVH5VylWhVGwpM64GGI6d6VxZJwuMOe7uIRtoVMR1n0kZ3uxH71J0GirmbatoFLbiCiWipTw4sCeFCq-ks-GwsiEhjd9sEOHmzoQWQiEtMvxgD5WARNmQGN6wXLbO8qQfPvnu0LtmAdodhqhMW1yKAJkgaUU3AexWu7nj7E3mKPo1WD5BVwpjusLNVp4ydkBo8PvJOdXbAZJ62zW6pUST5E6b32NHVhkf0m_CMIKxRQO7s8JTnm0VyYxmUElY2e8EoHdzXAbyYFcHzHUv7L-pn-RoITcdIFV22q-9Czj62U7Cmt6kxcGDNHe7FT1HpPYON-kWMIMYqvTNNQ==&vjs=3&p=4&sk=&fvj=1,""2018-04-23T17:15:58.359Z""
ObjectId("5ade14d124dc391b1a368f2f"),Data Engineer,Noodle.ai,San Francisco, CA,As a Data Engineer, you will collaborate with the Noodle Client Service team, Data Scientists, SW Engineers, and UX Designers, as well as industry-specific...,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A38a9IVvk5r1TDo7iObPi9660u_wRAOWJAhHUAQ0rFsYKDo_PPgc_1F7ReqEpT1Kub3_SbEm0suqsYfbc7IVdPfNfgdCf3iQU5pacXmdWJ3rmvjj9eU4WcBrJuR6xZrmMQcxLWQ0ciE8sX0BgNodbTLYj1eStrz0YSLW5pxeJzaP6uzh9GZQx79Uaay0y9YazsjxI0Voj4-e6z8qa9hA0UireybSsSx_5pVzhiFz0dfukHIUk0hzkgGWFVUBtAyjA6DmsICoSxi_u2XDzwgiQ1ryK1FjapgzHjt7XdU-O-A-VgQGyIhoN4bGl8sqKqJRkEwxmg4a_1E2d9yY_VnejY2Tf26iazLmnsQZB61CdBB5maczOqpMINwsijJ73LzsCeOCHOqLNh9hfX0rOr_uqf8vB1V9ZhelZXYOT06UHp63PLEs4G4HT3i2xkdIB4lBC74uU1EwmEvPeT5C2DB7uavlYsa-Jlf4uVDlA-gSVt7E6YZb3qXtYN99nrA-0u3RMPzZp2ynuByT7RHJ3XIZyrbybn6meQFvIOEvJYW0g79KJT785e4wkIQfCE75qJzzDslz39bPzwp2qw2CG79q5T&vjs=3&p=5&sk=&fvj=0,""2018-04-23T17:15:58.359Z""
ObjectId("5ade14d124dc391b1a368f30"),Data Engineer,Segment,San Francisco, CA 94103 (South Of Market area),Own and optimize Segment’s AWS internal data infrastructure to run the data warehouse and the data pipelines you build effectively and efficiently....,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CZTNjLMuBQEc4UwMDLf68nYWD4vZp_o6pW13OpR78fsUbLF7akhdL4HTVuMU9ZbeK6p2rL4A4W-nNfc3zdHY1wmLw0SfOZ-Cv_RvbZspyyZlGpyyreBIbJ6BJR4f3pkSDKOoykvXxo0ZmZGmoxDnV5_4N8iiY2BN7QFfOdJ8as5KIK4VHmBbHnpZzEY651-ygwsWSJ_KE4afDxdOX0sMFZ6uIIABWqhKfxvGKA2kHNTArkwWLYIlBWpGP_Zn4pOcl0JcytUc47CtnnY8587ngjEKf0UjOjY7zZMKM0TQu5O5Y2h_MMZ3U59xb062AVYMTICQRq8sCz5bJFP3vN2wu3W2u9RTMMm5dhstpAG8GAjI9p0DpV8sX2V5trh4dFCg3IZi9eIIX2hG7Lndi8xFjhCqZ4ym2hviyJFZ8219zypkAa3D1D-rLHbpn9fWVhySWAjMZyLtnmURIcBfMAdtzeePDNrnvkSjQCfESuTgZt2esUlPuyUv0LHCRb6rZ5cUWXr90BG6lim9RHIiBjgsFd&vjs=3&p=6&sk=&fvj=0,""2018-04-23T17:15:58.359Z""
ObjectId("5ade14d124dc391b1a368f31"),Data Engineer,Shipt,San Francisco, CA,Shipt has a wide variety of data partners and as our data volumes. Data Engineering at Shipt primarily focuses on retailer catalog and general product data for...,https://www.indeed.com/rc/clk?jk=08d518766397fed1&fccid=7f8a3848ff617b22&vjs=3,""2018-04-23T17:15:58.359Z""
ObjectId("5ade14d124dc391b1a368f32"),Data Engineer, SF,MLB.com,San Francisco, CA,Data Engineer, Baseball Data. The Data Engineer position offers the opportunity to collaborate with other world-class engineers, product developers, and...,https://www.indeed.com/rc/clk?jk=a9b8abfbec4c7284&fccid=1ed502f6da51dc36&vjs=3,""2018-04-23T17:15:58.359Z""
ObjectId("5ade14d124dc391b1a368f33"),Data Engineer,Twitter,San Francisco, CA 94103 (South Of Market area),Our tools enable ML engineers to leverage Twitter data to improve their models. Streaming data processing solutions (e.g....,https://www.indeed.com/rc/clk?jk=ec9dfa7da3a6e5ca&fccid=e07842a8df6e60cc&vjs=3,""2018-04-23T17:15:58.359Z""
ObjectId("5ade14d124dc391b1a368f34"),Data Engineer, Stream Platform,Pinterest,San Francisco, CA 94103 (South Of Market area),We’re looking for a seasoned Big Data engineer to help us build and scale the next generation of near-realtime data processing and warehousing platform....,https://www.indeed.com/rc/clk?jk=938e900dc99f2504&fccid=bc1c9d9d782c6b91&vjs=3,""2018-04-23T17:15:58.359Z""
ObjectId("5ade14d124dc391b1a368f35"),Data Engineer, Logging Platform,Pinterest,San Francisco, CA 94103 (South Of Market area),As a Data Engineer on the Logging Platform team you'll work on large Kafka deployment to enable the rest of the company to collect log messages and derive...,https://www.indeed.com/rc/clk?jk=e4fd09b1afd8c5aa&fccid=7a3824693ee1074b&vjs=3,""2018-04-23T17:15:58.359Z""
ObjectId("5ade14d124dc391b1a368f36"),Data Engineer,Esha IT,San Francisco, CA,Data Engineer Position*. .- People who can articulate Data Quality, Data Cleansing, Data modeling, Data Visualization.- Able to articulate approach to handling...,https://www.indeed.com/rc/clk?jk=271063358db6173a&fccid=43014b1412e0a7b6&vjs=3,""2018-04-23T17:15:58.359Z""
ObjectId("5ade14d124dc391b1a368f37"),Data Engineering Intern,Castlight Health,San Francisco, CA 94105 (Financial District area),Interest in data and data engineering. As an intern, you will have the unique opportunity to work with a team of experienced Data Engineers and Data Scientists...,https://www.indeed.com/rc/clk?jk=c6ea0e4bc901380b&fccid=43014b1412e0a7b6&vjs=3,""2018-04-23T17:15:58.359Z""
ObjectId("5ade14d124dc391b1a368f38"),Machine Learning Engineer, Notification Data,Pinterest,San Francisco, CA 94103 (South Of Market area),Integrate new data sources into our email and notification ranking models. Build systems for data preparation, logging, and collection of emails/push...,https://www.indeed.com/company/Esha-IT/jobs/Data-Engineer-e2835e3a99596a23?fccid=cd924e7ed28aee15&vjs=3,""2018-04-23T17:15:58.359Z""
ObjectId("5ade14d124dc391b1a368f39"),Data Engineer,Yodlee,Redwood City, CA 94065,An ability to analyze data and build data products. The Data Engineer is responsible for creating robust and accessible data sources for our customers in...,https://www.indeed.com/rc/clk?jk=58326435846d9917&fccid=aafdb4fe9e36b658&vjs=3,""2018-04-23T17:15:58.359Z""
ObjectId("5ade14d124dc391b1a368f3a"),Senior Data Engineer,Trulia,San Francisco, CA,5 Years of proven working experience as a data engineer. Technical expertise regarding data models, database design development, data mining and segmentation...,https://www.indeed.com/rc/clk?jk=34c8851e40e70a46&fccid=43014b1412e0a7b6&vjs=3,""2018-04-23T17:15:58.359Z""
ObjectId("5ade3a3c24dc391b1a368f40"),Data Engineer,Yodlee,Redwood City, CA 94065,An ability to analyze data and build data products. The Data Engineer is responsible for creating robust and accessible data sources for our customers in...,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A38a9IVvk5r1TDo7iObPi9660u_wRAOWJAhHUAQ0rFsYKDo_PPgc_1F7ReqEpT1Kub3_SbEm0suqsYfbc7IVdPfNfgdCf3iQU5pacXmdWJ3rmvjj9eU4WcBrJuR6xZrmMQcxLWQ0ciE5HM0UcS8FaiQcJvJzYl8_3dqVnd9N2FS3msXcryUV_zTszRkmdzks1cjJIVY2MKYVx_FB6Ey5wibpHONs9jGnngZxNstrMgMy3sD4jmfzheoIE_O-GByJYS3eaY5Ym17zZKl_M2AhWWzA0MygTvLYtzAORctBbHz6jKw3zK0Bfed-ffUf9jBe9AzQdj0_331d9JMXRAzG5pVEn9ug2glGWBS8pQlzomwwAJxUdXZs9bPYzbgCQQG64cl-cLFBu1xCCMRlaJDVZ7SNO1iG9vuaUZafe_7DrHoLFTDDWG3EiZ3A38ISv4E8Ekx1VvKvWnlClSEruArgFOScJQG1KaGpMli0m66xM3gHCBT0wSBX9uJA92Xz3G7dnvkljtatl-aaMuKdCVq9W2SPEXtGsv1gvXPAJbRnkJDN5tOqC-MtGFn-MqxTONHu4KEGeLsqoDef7k5kZcR4UZ&vjs=3&p=1&sk=&fvj=0,""2018-04-23T19:55:39.442Z""
